,No.,Creator,Label,Question,Answer,Question_Encoded
150,152,Thiện,Chung,Em học ngành ngôn ngữ Hàn cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I3 trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 4gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",353
151,153,Thiện,Chung,Em học ngành truyền thông cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I3 trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 4gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",358
152,154,Thiện,Chung,Em học ngành kinh doanh quốc tế cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I3 trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 4gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",349
153,155,Thiện,Chung,Em học ngành CN cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I3 trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 4gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",346
154,156,Thiện,Chung,Em học ngành quản trị KS cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I3 trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 4gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",356
155,157,Thiện,Chung,Em học ngành quản trị DLcần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I3 trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 4gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",355
156,158,Thiện,Chung,Em học ngành kĩ thuật phần mềm (CN) cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I5 trở lên
- Có card màn hình từ 2gb trở 
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 8gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",351
157,159,Thiện,Chung,Em học ngành kĩ thuật hệ thống thông tin cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I5 trở lên
- Có card màn hình từ 2gb trở 
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 8gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",350
158,160,Thiện,Chung,Em học ngành an toàn thông tin cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I5 trở lên
- Có card màn hình từ 2gb trở 
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 8gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",347
159,161,Thiện,Chung,Em học ngành trí tuệ nhân tạo cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I5 trở lên
- Có card màn hình từ 2gb trở 
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 8gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",359
160,162,Thiện,Chung,Em học ngành thiết kế đồ họa cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I5 trở lên (khuyến khích bạn nên dùng I7)
- Có card màn hình từ 4gb trở và màn hình bạn nên là FullHD trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 8gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",357
161,163,Thiện,Chung,Em học ngành digital maketing (truyền thông đa phương tiện) cần mua loại máy tính nào là phù hợp ?,"Bạn cần một chiếc máy tính có cấu hình cơ bản là sẽ phục vụ tốt cho bạn nha. Sau đây là cấu hình tối ưu nhất:
- Intel core I5 trở lên (khuyến khích bạn nên dùng I7)
- Có card màn hình từ 4gb trở và màn hình bạn nên là FullHD trở lên
- SSD ít nhất là 128gb, và có thêm HDD 1TB để lưu trữ dữ liệu (tùy theo nhu cầu, nếu bạn ít lưu dữ liệu thì 500gb HDD cũng được rồi nha)
- Ram phải từ 8gb trở lên nha

Bạn có thể dùng cấu hình này và tìm những mẫu laptop phù hợp với bạn nha.",348
162,164,Thiện,Chung,7-Eleven là gì ?,"Đây là cửa hàng tiện lợi cung cấp đầy đủ đồ ăn, thức uống, những thứ bạn cần cho việc nặp lại năng lượng và các vật dụng cần thiết như: bút, vở, áo mưa,...",11
163,165,Thiện,Chung,7-Eleven ở đâu tại ĐH FPT ?,Nằm ngay tại campus cạnh sân bóng nha bạn,12
164,166,Thiện,Chung,Sinh viên ở xa thì chỗ ở (nhà ở) sẽ ở đâu ?,Bạn có thể tham khảo F-HOME nha,625
165,167,Thiện,Chung,f-home là gì ?,"Đây là hình thức tư vấn nhà ở cho sinh viên. Sinh viên sẽ được tư vấn ở tại Kí túc xá ĐHQG, Chung cư Vinhome,...",802
166,168,Thiện,Chung,giá cả hợp lí không ?,"Tiêu chí của F-HOME là hợp lí về giá cả, thuận tiện cho sinh viên",803
167,169,Thiện,Chung,có đặc quyền gì khi thuê nhà từ F-HOME không ?,"- Bạn sẽ được ĐH FPT hỗ trợ từ tháng thuê đầu tiên 
- Đảm bảo chất lượng vì đã được kiểm định 
- Được đảm bảo an ninh 
- Thuê qua chính chủ  ",799
168,170,Thiện,Chung,Em cần liên hệ ai để thuê nhà ở ?, Bạn hãy liên hệ: phòng Công Tác Sinh Viên (202) với hotline là (028) 7300 5588 và mail là: sschcm@fe.edu.vn để được hỗ trợ chi tiết hơn về việc thuê nhà nhé.,343
169,171,Thiện,Chung,Điểm chuẩn Trường Đại học FPT năm 2023 là bao nhiêu?,"""Điểm chuẩn""  - hay còn được gọi là ""ngưỡng chất lượng đầu vào"" của Trường Đại học FPT - Trường Đại học đạt TOP 801-1000 các trường đại học thế giới về giáo dục, con người năm 2023 sẽ dựa vào xếp hạng SchoolRank (công cụ xếp hạng năng lực học tập của học sinh THPT toàn quốc do Đại học FPT xây dựng và phát triển). Năm 2023, ngưỡng chất lượng đầu vào (còn gọi là ""điểm chuẩn"") của Đại học FPT là TOP40 Schoolrank (40% học sinh THPT có năng lực học tập tốt nhất cả nước).",812
170,172,Thiện,Chung,Có cẩm nang nào cho tân sinh viên không ?,Có bạn nha. Bạn vào đường link này nha: https://hcmuni.fpt.edu.vn/cam-nang-tuan-le-dinh-huong-2022/,247
171,173,Thiện,Chung,Đạt giải nhất trong kì thi học sinh giỏi quốc gia môn Toán có được hỗ trợ học bổng không ?,Bạn thật xuất sắc. Đối với trường hợp của bạn FPT sẽ có học bổng toàn phần (100%) dành cho bạn cùng với đó là hỗ trợ bạn toàn phần sinh hoạt phí,928
172,174,Thiện,Chung,Đạt giải nhất trong kì thi học sinh giỏi quốc gia môn Tin có được hỗ trợ học bổng không ?,Bạn thật xuất sắc. Đối với trường hợp của bạn FPT sẽ có học bổng toàn phần (100%) dành cho bạn cùng với đó là hỗ trợ bạn toàn phần sinh hoạt phí,927
173,175,Thiện,Chung,Đạt giải nhất trong kì thi học sinh giỏi quốc gia môn Hóa có được hỗ trợ học bổng không ?,Bạn thật xuất sắc. Đối với trường hợp của bạn FPT sẽ có học bổng toàn phần (100%) dành cho bạn cùng với đó là hỗ trợ bạn toàn phần sinh hoạt phí,925
174,176,Thiện,Chung,Đạt giải nhất trong kì thi học sinh giỏi quốc gia môn Lý có được hỗ trợ học bổng không ?,Bạn thật xuất sắc. Đối với trường hợp của bạn FPT sẽ có học bổng toàn phần (100%) dành cho bạn cùng với đó là hỗ trợ bạn toàn phần sinh hoạt phí,926
175,177,Thiện,Chung,Đạt giải nhì trong kì thi học sinh giỏi quốc gia môn Toán có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 70% dành cho bạn ,922
176,178,Thiện,Chung,Đạt giải nhì trong kì thi học sinh giỏi quốc gia môn Tin có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 70% dành cho bạn ,921
177,179,Thiện,Chung,Đạt giải nhì trong kì thi học sinh giỏi quốc gia môn Hóa có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 70% dành cho bạn ,919
178,180,Thiện,Chung,Đạt giải nhì trong kì thi học sinh giỏi quốc gia môn Lý có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 70% dành cho bạn ,920
179,181,Thiện,Chung,Đạt giải nhất trong kì thi năng khiếu quốc gia các môn thể thao có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn ,930
180,182,Thiện,Chung,Đạt giải nhất trong kì thi năng khiếu quốc gia các môn nghệ thuật có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn ,929
181,183,Thiện,Chung,Đạt giải nhì trong kì thi năng khiếu quốc gia các môn thể thao có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn ,924
182,184,Thiện,Chung,Đạt giải nhì trong kì thi năng khiếu quốc gia các môn nghệ thuật có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn ,923
183,185,Thiện,Chung,Đạt giải ba trong kì thi năng khiếu quốc gia các môn thể thao có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn ,918
184,186,Thiện,Chung,Đạt giải ba trong kì thi năng khiếu quốc gia các môn nghệ thuật có được hỗ trợ học bổng không ?,Bạn thật giỏi . Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn ,917
185,187,Thiện,Chung,LMS là gì ?,Đây là nơi mà các bạn SV sẽ làm các bài tập được giao cũng như là các bài kiểm tra trong kì mà giảng viên yêu cầu,476
186,188,Thiện,Chung,FPT có bao nhiêu đối tác để tạo cơ hội giúp sinh viên được tuyển dụng ?,FPT có hơn 365 đối tác đóng vai trò là các nhà tuyển dụng giúp sinh viên có nhiều cơ hội việc làm,410
187,189,Thiện,Chung,Ngoài 7-Eleven thì còn chỗ nào bán thức ăn và đồ uống trong trường ?,Bạn có thể tham khảo thêm về Passio và Laha Coffe nha,518
188,190,Thiện,Chung,Nhà tuyển dụng nói gì về SV FPT ?,"ÔNG KIM DONG YEONG
Giám đốc điều hành công ty H&S
“Qua nhiều lần tuyển dụng sinh viên Đại học FPT, tôi rất hài lòng về trình độ chuyên môn và thái độ của các em. Đặc biệt tôi hoàn toàn ủng hộ khi được biết trường mở ngành CN và sẵn sàng tuyển dụng sinh viên Đại học FPT cho những vị trí phù hợp”

ÔNG NGUYỄN HỒNG LINH
Giám đốc Công ty FACESEO
""Sinh viên Đại học FPT có trình độ chuyên môn, thái độ làm việc tốt và rất có tinh thần cầu thị”.

ÔNG PHAN NGỌC VINH
Giám đốc công ty The Monest
""Sinh viên trường ĐH FPT là một trong những hạt giống tốt bởi các em được mài dũa nhiều kỹ năng cần thiết ngay từ khi còn ngồi ghế nhà trường để chuẩn bị hành trang vào đời"".",561
189,191,Thiện,Chung,Có cần mặc đồng phục khi đi học không ?,"Sinh viên FPT sẽ được mặc trang phục tự do khi đi học (bạn cần mặc trang phục tử tế nha). Nhưng bạn sẽ được phát chiếc áo FPT màu cam (áo đồng phục), bạn sẽ mặc áo này khi tham gia các sự kiện và được giảng viên, người phía nhà trường yêu cầu mặc thì bạn phải tuân theo. 

[Lưu ý: Vovinam và RLTT bạn phải mặc đúng đồng phục mà những bộ môn này yêu cầu]",245
190,192,Thiện,Chung,Học vovinam(võ) có cần mặc đồng phục khi đi học không ?,Tuy được mặc trang phục tự do tại các môn học khác nhưng đối với môn Vovinam(võ) và quân sự (RLTT)bạn phải mặc đồng phục đúng theo yêu cầu nha,458
191,193,Thiện,Chung,Học quân sự (RLTT) có cần mặc đồng phục khi đi học không ?,Tuy được mặc trang phục tự do tại các môn học khác nhưng đối với môn quân sự (RLTT) và Vovinam bạn phải mặc đồng phục đúng theo yêu cầu nha,437
192,194,Thiện,Chung,Gửi xe tại trường có mất phí không ?,"Có bạn nha. Bạn sẽ mất 3.000đ cho 1 lượt gửi nhé. Đây là phí áp dụng cho xe máy, xe moto 2 bánh",419
193,195,Thiện,Chung,Trường có máy rút tiền ATM không ?,"Tất nhiên là có bạn nha. Máy rút tiền ATM thế hệ mới với nhiều công nghệ của NH TP Bank, ngay tại sảnh trống Đồng",716
194,196,Thiện,Chung,Sinh viên sẽ nghỉ chưa ở đâu trong trường ?,Bạn có thể ngồi nghỉ ngơi ăn uống tại các bàn mà trường đã đặt sẵn.,613
195,197,Thiện,Chung,"Muốn yên tĩnh để rèn luyện, học hành thì trường có những nơi nào ?",Bạn có thể đến thư viện để yên tĩnh và có những tiện ích khác giúp bạn ôn tập tốt hơn nha,503
196,198,Thiện,Chung,Thi cuối kì bằng phần mềm nào ?,"Bạn thi bằng phần mềm EOS cho các bài thi FE(Final Exame), PEA cho các bài thi PE (Practice Exame)",628
197,199,Thiện,Chung,Muốn xem các thông báo mới nhất của trường thì xem ở đâu ?,Bạn hãy lên FAP để cập nhật các thông báo mới nhất từ nhà trường nhá.,502
198,200,Thiện,Chung,Có được hút thuốc tại trường không ?,Bạn không được hút thuốc tại trường. Hút thuốc là việc bị cấm tại FPT,324
199,201,Toàn,Chung,"Em có tham khảo thông tin được biết, khi nhập học vào trường thí sinh phải tham gia kiểm tra trình độ tiếng Anh đầu vào, việc này chỉ nhằm phân lớp học Tiếng Anh theo trình độ hay còn mang ý nghĩa tuyển sinh?","Việc kiểm tra trình độ tiếng Anh là để xếp lớp học tiếng Anh theo trình độ, không ảnh hưởng đến kết quả tuyển sinh. Tuy nhiên, trình độ tiếng Anh là yêu cầu bắt buộc trong quá trình học tại trường. ",338
200,202,Toàn,CN,"Em xin hỏi, nếu chọn học ngành Quản trị khách sạn tại Đại học FPT, em có được giới thiệu các khách sạn uy tín để thực tập và làm việc không?","Chương trình đào tạo ngành Quản trị khách sạn tại Trường Đại học FPT được thiết kế dựa trên các khung đào tạo về Quản trị khách sạn của Thụy Sĩ và Malaysia. Bên cạnh đó việc, 100% sinh viên Đại học FPT có cơ hội tham gia những kì học tại nước ngoài, giúp sinh viên rèn luyện và phát triển năng lực tự lập, tự học, tự tìm hiểu văn hóa, con người tại quốc gia đó. Từ đó, hình thành nên tư duy, sẵn sàng cho sự nghiệp toàn cầu.",372
201,203,Toàn,CN,Em đang tham khảo ngành học Quản trị khách sạn tại Đại học FPT và đang muốn biết rõ hơn về khung chương trình và các môn học cụ thể?,"Chương trình đào tạo ngành Quản trị Khách sạn của Đại học FPT được thiết kế, phát triển và triển khai bởi đội ngũ chuyên gia, dựa trên các khung đào tạo về Quản trị Khách sạn của Malaysia và Thụy sĩ – nơi vốn được ví như “cái nôi” của ngành Quản trị Khách sạn quốc tế. Về khung chương trình đào tạo thì bạn có thể tham khảo kĩ hơn ở trong đường link này  ( https://hcmuni.fpt.edu.vn/nganh-dao-tao/nganh-quan-tri-khach-san )",384
202,204,Toàn,CN,Em đang tham khảo ngành học Quản trị Khách sạn của Đại học FPT và đang thắc mắc về vấn đề học thực hành vì ngành này đòi hỏi phải thực hành rất nhiều?,"Thay cho học phần thực hành trên mô hình khách sạn tại trường, sinh viên ngành Quản trị Khách sạn tại Đại học FPT sẽ có từ 3 đến 6 tháng học 4 môn chuyên ngành và 1 học kỳ  tại những khách sạn 5* (sao) trong và ngoài nước như: Sofitel Saigon Plaza, Movenpick Hà Nội, Pullman Vũng Tàu, Khách sạn Gourney - Penang Malaysia, hoặc học tập tại các trường Đại học - đối tác của Đại học FPT tại Malaysia, Thái Lan, New Zealand.",383
203,205,Toàn ,CN,Em đang tham khảo ngành Quản trị Khách sạn của Đại học FPT và có thắc mắc về điều kiện tuyển sinh vào ngành Quản trị khách sạn như thế nào?,"Bạn sẽ xét điểm ở trang web ( http://schoolrank.fpt.edu.vn/ ). Sau đó, đăng ký trực tuyến tại ( https://dangky.fpt.edu.vn ). Làm theo các bước theo hướng dẫn. Đăng ký chỉ hợp lệ khi Trường ĐH FPT nhận được đầy đủ hồ sơ và lệ phí tuyển sinh theo quy định. Để biết rõ hơn về tuyển sinh bạn co thể tham khảo ở đường link này ( https://hcmuni.fpt.edu.vn/tuyen-sinh/quy-che-tuyen-sinh )",378
204,206,Toàn ,CN,Em đang tham khảo ngành Quản trị Khách sạn của Đại học FPT và có thắc mắc về vấn đề có cần có kiến thức chuyên môn trước khi học ngành Quản trị khách sạn không?,"Đối với ngành Quản trị khách sạn của Đại học FPT hoặc bất kỳ ngành nào khác, không yêu cầu bạn có kiến thức chuyên môn trước khi học. Ngành này thường được thiết kế để cung cấp kiến thức cơ bản và chuyên sâu về quản trị khách sạn, bao gồm các môn học về quản lý, kinh doanh, marketing, quản lý nhân sự và các lĩnh vực liên quan.
Tuy nhiên, việc có kiến thức chuyên môn trước khi học có thể là một lợi thế. Nếu bạn đã có kiến thức cơ bản về khách sạn, du lịch hoặc các lĩnh vực liên quan, nó có thể giúp bạn hiểu sâu hơn và nắm bắt nhanh chóng các khái niệm và nội dung trong quá trình học.",377
205,207,Toàn ,CN,Em đang tham khảo ngành Quản trị Khách sạn của Đại học FPT và có thắc mắc về vấn đề có các môn học cốt lõi trong ngành Quản trị khách sạn là gì và những kỹ năng nào được phát triển thông qua chương trình học?,"Trong ngành Quản trị khách sạn của Đại học FPT, có một số môn học cốt lõi quan trọng để phát triển kiến thức và kỹ năng cần thiết cho ngành này. Dưới đây là một số môn học cốt lõi và những kỹ năng tương ứng được phát triển thông qua chương trình học:
-Introduction to Tourism & Hospitality industry_Tổng quan ngành Du lịch & Khách sạn (HMO102) 
-Hotel Operations Management_Quản trị vận hành khách sạn (HOM202)
-Cross Cultural Management and Negotiation_Quản trị và đàm phán trong môi trường đa văn hóa (IBC201)
...
Đây là một số môn học cốt lõi trong chương trình đào tạo của ngành Quản trị khách sạn của Đại học FPT. Để tìm hiểu rõ hơn bạn có thể tham khảo ở đường link ( https://hcmuni.fpt.edu.vn/nganh-dao-tao/nganh-quan-tri-khach-san )
",376
206,208,Toàn,CN, Em đang tham khảo ngành Thiết kế đồ họa của Đại học FPT và có thắc mắc về vấn đề điều kiện tuyển sinh vào ngành Thiết kế đồ họa như thế nào?,"Bạn sẽ xét điểm ở trang web ( http://schoolrank.fpt.edu.vn/ ). Sau đó, đăng ký trực tuyến tại ( https://dangky.fpt.edu.vn ). Làm theo các bước theo hướng dẫn. Đăng ký chỉ hợp lệ khi Trường ĐH FPT nhận được đầy đủ hồ sơ và lệ phí tuyển sinh theo quy định. Để biết rõ hơn về tuyển sinh bạn co thể tham khảo ở đường link này ( https://hcmuni.fpt.edu.vn/tuyen-sinh/quy-che-tuyen-sinh )",5
207,209,Toàn,CN,Em đang tham khảo ngành Thiết kế đồ họa của Đại học FPT và có thắc mắc về vấn đề có cần có kiến thức chuyên môn trước khi học ngành Thiết kế đồ họa không?,"Đối với ngành Thiết kế đồ họa của Đại học FPT hoặc bất kỳ ngành nào khác, không yêu cầu bạn có kiến thức chuyên môn trước khi học. Ngành này thường được thiết kế để cung cấp kiến thức cơ bản và chuyên sâu về quản trị khách sạn, bao gồm các môn học về quản lý, kinh doanh, marketing, quản lý nhân sự và các lĩnh vực liên quan.
Tuy nhiên, việc có kiến thức chuyên môn trước khi học có thể là một lợi thế. Nếu bạn đã có kiến thức cơ bản về khách sạn, du lịch hoặc các lĩnh vực liên quan, nó có thể giúp bạn hiểu sâu hơn và nắm bắt nhanh chóng các khái niệm và nội dung trong quá trình học.",381
208,210,Toàn,CN,Em đang tham khảo ngành Thiết kế đồ họa của Đại học FPT và có thắc mắc về vấn đề có các môn học cốt lõi trong ngành Quản trị khách sạn là gì và những kỹ năng nào được phát triển thông qua chương trình học?,"Trong ngành Thiết kế đồ họa của Đại học FPT, có một số môn học cốt lõi quan trọng để phát triển kiến thức và kỹ năng cần thiết cho ngành này. Dưới đây là một số môn học cốt lõi và những kỹ năng tương ứng được phát triển thông qua chương trình học:
-Drawing - Form, Still-life_Hình họa - Vẽ khối, tĩnh vật (DRS102) 
-Fundamental of Graphic CN_Nguyên lý đồ họa cơ bản (GDF201)
-Idea & Script Development _Phát triển ý tưởng và kịch bản (ANS201)
...
Đây là một số môn học cốt lõi trong chương trình đào tạo của ngành Thiết kế đồ họa của Đại học FPT. Để tìm hiểu rõ hơn bạn có thể tham khảo ở đường link ( https://thietkedohoa.hcmuni.fpt.edu.vn/ )",380
209,211,Toàn ,CN,Em đang tham khảo ngành Thiết kế đồ họa của Đại học FPT và có thắc mắc về vấn đề cơ hội việc làm của ngành này?,"Ngành Thiết kế đồ họa là một lĩnh vực rất đa dạng và có nhiều cơ hội việc làm hấp dẫn. Với sự phát triển mạnh mẽ của công nghệ và ngành truyền thông, các chuyên gia thiết kế đồ họa đang trở nên ngày càng cần thiết trong nhiều lĩnh vực. Dưới đây là một số cơ hội việc làm mà ngành Thiết kế đồ họa của Đại học FPT có thể mang lại:

-Thiết kế đồ họa cho công ty, tổ chức hoặc doanh nghiệp.

-Thiết kế giao diện người dùng (UI) và trải nghiệm người dùng (UX).

-Thiết kế đồ họa cho truyền thông và quảng cáo.
...
Đây là một số thông tin về cơ hội việc làm. Để biết rõ hơn về vấn đề này bạn có thể tìm hiểu thêm ở đường link này (https://thietkedohoa.hcmuni.fpt.edu.vn/career)",382
210,212,Toàn,CN,Em được tư vấn học ngành Thiết kế đồ họa tại Đại học FPT nhưng mà chưa hiểu rõ về ngành này ở trường mình là như thế nào?,"Khác biệt lớn nhất tại Đại học FPT TP.HCM là ngành Thiết kế Mỹ thuật số được xác định phát triển theo định hướng Đồ họa động & tương tác - DIGITAL ART & CN, ứng dụng CÔNG NGHỆ HIỆN ĐẠI trên NỀN TẢNG THẨM MỸ để tạo ra những sản phẩm đột phá, ấn tượng, mang tính ứng dụng và hội nhập, bao gồm các chuyên ngành hẹp về Hoạt hình 2D, Hoạt hình 3D, Thiết kế tương tác, Thực tế ảo (VR), Thực tế tăng cường (AR), Thiết kế game, Thiết kế truyền thông. Để tìm hiểu kĩ hơn về ngành học bạn có thể tìm hiểu thêm ở link này ( https://thietkedohoa.hcmuni.fpt.edu.vn/)",389
211,213,Toàn,CN,Em đang tham khảo ngành Quản trị khách sạn của Đại học FPT và có thắc mắc về vấn đề cơ hội việc làm của ngành này?,"Ngành Quản trị khách sạn của Đại học FPT mang đến nhiều cơ hội việc làm hấp dẫn cho sinh viên tốt nghiệp. Với sự phát triển của ngành du lịch và khách sạn, ngành Quản trị khách sạn ngày càng trở nên quan trọng và có nhu cầu tuyển dụng cao. Dưới đây là một số cơ hội việc làm mà ngành Quản trị khách sạn có thể mang lại:
-Quản lý khách sạn.

-Quản lý chuỗi khách sạn.

-Kinh doanh khách sạn.

-Quản lý sự kiện.

-Dịch vụ du lịch.
Trên đây là một vài ví dụ về cơ hội việc làm của ngành Quản trị khách sạn. Để tìm hiểu rõ hơn về ngành học bạn nên tham khảo ở link này ( https://hcmuni.fpt.edu.vn/nganh-dao-tao/nganh-quan-tri-khach-san )",379
212,214,Toàn,CN,Em được tư vấn học ngành Quản trị khách sạn và ngành Quản trị dịch vụ và lữ hành nhưng chưa hiểu rõ về 2 ngành này khác nhau như thế nào?,"Về định hướng đào tạo của 2 ngành này thì bạn nên hiểu rõ là:
- Chương trình đào tạo ngành Quản trị khách sạn tại Trường Đại học FPT được thiết kế dựa trên các khung đào tạo về Quản trị khách sạn của Thụy Sĩ và Malaysia, đồng thời thừa hưởng nền tảng công nghệ vượt trội của tập đoàn, sẵn sàng cho định hướng phát triển của ngành dịch vụ trong tương lai: Du lịch thông minh và Khách sạn thông minh (Smart Tourism & Smart Hotel).
- Được xem là ngành “công nghiệp không khói” có tiềm năng phát triển mạnh mẽ trong xu hướng toàn cầu hóa và sự phát triển của kinh tế - văn hóa - xã hội, ngành Quản trị Dịch vụ Du lịch & Lữ Hành mang lại triển vọng nghề nghiệp rộng lớn cho người học. Sinh viên tốt nghiệp ngành Quản trị Dịch vụ Du lịch & Lữ Hành sẵn sàng phát triển sự nghiệp năng động, chuyên nghiệp với thu nhập hấp dẫn tại vị trí: Hướng dẫn viên du lịch; Quản lý công ty du lịch; Quản trị, thiết kế tour; Điều hành, booking các dịch vụ.
Để tìm hiểu rõ hơn về ngành học bạn có thể tham khảo thêm ở link này ( https://hcmuni.fpt.edu.vn/nganh-dao-tao )",388
